jurisdiction,state,county
COLORADO CITY TOWN,AZ,MOHAVE COUNTY
COOLIDGE,AZ,PINAL COUNTY
COTTONWOOD,AZ,YAVAPAI COUNTY
DEWEY-HUMBOLDT TOWN,AZ,YAVAPAI COUNTY
DOUGLAS,AZ,COCHISE COUNTY
EL MIRAGE,AZ,MARICOPA COUNTY
ELOY,AZ,PINAL COUNTY
FLAGSTAFF,AZ,COCONINO COUNTY
FLORENCE TOWN,AZ,PINAL COUNTY
FOUNTAIN HILLS TOWN,AZ,MARICOPA COUNTY
FREDONIA TOWN,AZ,COCONINO COUNTY
GILA BEND TOWN,AZ,MARICOPA COUNTY
GILBERT TOWN,AZ,MARICOPA COUNTY
GLENDALE,AZ,MARICOPA COUNTY
GOODYEAR,AZ,MARICOPA COUNTY
GUADALUPE TOWN,AZ,MARICOPA COUNTY
HUACHUCA CITY TOWN,AZ,COCHISE COUNTY
JEROME TOWN,AZ,YAVAPAI COUNTY
KEARNY TOWN,AZ,PINAL COUNTY
KINGMAN,AZ,MOHAVE COUNTY
LAKE HAVASU CITY,AZ,MOHAVE COUNTY
LITCHFIELD PARK,AZ,MARICOPA COUNTY
MAMMOTH TOWN,AZ,PINAL COUNTY
MARANA TOWN,AZ,PIMA COUNTY
MARICOPA,AZ,PINAL COUNTY
MARICOPA COUNTY UNINCORPORATED AREA,AZ,MARICOPA COUNTY
MESA,AZ,MARICOPA COUNTY
MOHAVE COUNTY UNINCORPORATED AREA,AZ,MOHAVE COUNTY
ORO VALLEY TOWN,AZ,PIMA COUNTY
PAGE,AZ,COCONINO COUNTY
PARADISE VALLEY TOWN,AZ,MARICOPA COUNTY
PARKER TOWN,AZ,YUMA COUNTY
PEORIA,AZ,MARICOPA COUNTY
PHOENIX,AZ,MARICOPA COUNTY
PIMA COUNTY UNINCORPORATED AREA,AZ,PIMA COUNTY
PINAL COUNTY UNINCORPORATED AREA,AZ,PINAL COUNTY
PRESCOTT,AZ,YAVAPAI COUNTY
PRESCOTT VALLEY TOWN,AZ,YAVAPAI COUNTY
QUEEN CREEK TOWN,AZ,MARICOPA COUNTY
SAHUARITA TOWN,AZ,PIMA COUNTY
SAN LUIS,AZ,YUMA COUNTY
SCOTTSDALE,AZ,MARICOPA COUNTY
SEDONA,AZ,YAVAPAI COUNTY
SIERRA VISTA,AZ,COCHISE COUNTY
SOMERTON,AZ,YUMA COUNTY
SOUTH TUCSON,AZ,PIMA COUNTY
SUPERIOR TOWN,AZ,PINAL COUNTY
SURPRISE,AZ,MARICOPA COUNTY
TEMPE,AZ,MARICOPA COUNTY
TOLLESON,AZ,MARICOPA COUNTY
TOMBSTONE,AZ,COCHISE COUNTY
TUCSON,AZ,PIMA COUNTY
TUSAYAN TOWN,AZ,COCONINO COUNTY
WELLTON TOWN,AZ,YUMA COUNTY
WICKENBURG TOWN,AZ,MARICOPA COUNTY
WILLCOX,AZ,COCHISE COUNTY
WILLIAMS,AZ,COCONINO COUNTY
YAVAPAI COUNTY UNINCORPORATED AREA,AZ,YAVAPAI COUNTY
YOUNGTOWN TOWN,AZ,MARICOPA COUNTY
YUMA,AZ,YUMA COUNTY
YUMA COUNTY UNINCORPORATED AREA,AZ,YUMA COUNTY
ALEXANDER,AR,SALINE COUNTY
ALMA,AR,CRAWFORD COUNTY
ALTHEIMER,AR,JEFFERSON COUNTY
ASHDOWN,AR,LITTLE RIVER COUNTY
AUSTIN TOWN,AR,LONOKE COUNTY
AVOCA TOWN,AR,BENTON COUNTY
BARLING,AR,SEBASTIAN COUNTY
BAY,AR,CRAIGHEAD COUNTY
BELLA VISTA,AR,BENTON COUNTY
BENTON,AR,SALINE COUNTY
BENTON COUNTY UNINCORPORATED AREA,AR,BENTON COUNTY
BENTONVILLE,AR,BENTON COUNTY
BETHEL HEIGHTS TOWN,AR,BENTON COUNTY
BONANZA TOWN,AR,SEBASTIAN COUNTY
BONO,AR,CRAIGHEAD COUNTY
BROOKLAND TOWN,AR,CRAIGHEAD COUNTY
BRYANT,AR,SALINE COUNTY
CABOT,AR,LONOKE COUNTY
CAMMACK VILLAGE,AR,PULASKI COUNTY
CARAWAY TOWN,AR,CRAIGHEAD COUNTY
CARLISLE,AR,LONOKE COUNTY
CASH TOWN,AR,CRAIGHEAD COUNTY
CAVE SPRINGS,AR,BENTON COUNTY
CENTERTON,AR,BENTON COUNTY
CONWAY,AR,FAULKNER COUNTY
CRITTENDEN COUNTY UNINCORPORATED AREA,AR,CRITTENDEN COUNTY
DECATUR,AR,BENTON COUNTY
EARLE,AR,CRITTENDEN COUNTY
EDMONDSON TOWN,AR,CRITTENDEN COUNTY
ELKINS,AR,WASHINGTON COUNTY
ELM SPRINGS,AR,WASHINGTON COUNTY
ENGLAND,AR,LONOKE COUNTY
ENOLA TOWN,AR,FAULKNER COUNTY
FARMINGTON,AR,WASHINGTON COUNTY
FAYETTEVILLE,AR,WASHINGTON COUNTY
FOREMAN,AR,LITTLE RIVER COUNTY
FORT SMITH,AR,SEBASTIAN COUNTY
FOUKE TOWN,AR,MILLER COUNTY
GARLAND COUNTY UNINCORPORATED AREA,AR,GARLAND COUNTY
GARLAND TOWN,AR,MILLER COUNTY
GENTRY,AR,BENTON COUNTY
GOSHEN TOWN,AR,WASHINGTON COUNTY
GOULD,AR,LINCOLN COUNTY
GRADY,AR,LINCOLN COUNTY
GRAVETTE,AR,BENTON COUNTY
GREENBRIER,AR,FAULKNER COUNTY
GREENLAND,AR,WASHINGTON COUNTY
GREENWOOD,AR,SEBASTIAN COUNTY
HACKETT,AR,SEBASTIAN COUNTY
HARRISBURG,AR,POINSETT COUNTY
HASKELL,AR,SALINE COUNTY
HIGHFILL TOWN,AR,BENTON COUNTY
HORSESHOE LAKE TOWN,AR,CRITTENDEN COUNTY
HOT SPRINGS,AR,GARLAND COUNTY
HUMNOKE,AR,LONOKE COUNTY
HUNTSVILLE,AR,MADISON COUNTY
JACKSONVILLE,AR,PULASKI COUNTY
JOHNSON,AR,WASHINGTON COUNTY
JONESBORO,AR,CRAIGHEAD COUNTY
KEO TOWN,AR,LONOKE COUNTY
KINGSLAND,AR,CLEVELAND COUNTY
LAKE CITY TOWN,AR,CRAIGHEAD COUNTY
LAVACA,AR,SEBASTIAN COUNTY
LEPANTO,AR,POINSETT COUNTY
LINCOLN,AR,WASHINGTON COUNTY
LITTLE FLOCK,AR,BENTON COUNTY
LITTLE ROCK,AR,PULASKI COUNTY
LONOKE,AR,LONOKE COUNTY
LOWELL,AR,BENTON COUNTY
MANSFIELD,AR,SEBASTIAN COUNTY
MARION,AR,CRITTENDEN COUNTY
MARKED TREE,AR,POINSETT COUNTY
MAUMELLE,AR,PULASKI COUNTY
MAYFLOWER,AR,FAULKNER COUNTY
MIDLAND TOWN,AR,SEBASTIAN COUNTY
MONETTE,AR,CRAIGHEAD COUNTY
MOUNTAIN PINE,AR,GARLAND COUNTY
MULBERRY,AR,CRAWFORD COUNTY
NORTH LITTLE ROCK,AR,PULASKI COUNTY
PEA RIDGE,AR,BENTON COUNTY
PERRY TOWN,AR,PERRY COUNTY
PERRYVILLE,AR,PERRY COUNTY
PINE BLUFF,AR,JEFFERSON COUNTY
PRAIRIE GROVE,AR,WASHINGTON COUNTY
REDFIELD,AR,JEFFERSON COUNTY
RISON,AR,CLEVELAND COUNTY
ROGERS,AR,BENTON COUNTY
SHANNON HILLS,AR,SALINE COUNTY
SHERIDAN,AR,GRANT COUNTY
SHERWOOD,AR,PULASKI COUNTY
SILOAM SPRINGS,AR,BENTON COUNTY
SPRINGDALE,AR,WASHINGTON COUNTY
ST. PAUL TOWN,AR,MADISON COUNTY
STAR CITY,AR,LINCOLN COUNTY
SULPHUR SPRINGS,AR,BENTON COUNTY
SUNSET TOWN,AR,CRITTENDEN COUNTY
TEXARKANA AR,AR,MILLER COUNTY
TONTITOWN,AR,WASHINGTON COUNTY
TRUMANN,AR,POINSETT COUNTY
TURRELL,AR,CRITTENDEN COUNTY
TYRONZA TOWN,AR,POINSETT COUNTY
VAN BUREN,AR,CRAWFORD COUNTY
VILONIA TOWN,AR,FAULKNER COUNTY
WARD,AR,LONOKE COUNTY
WASHINGTON COUNTY UNINCORPORATED AREA,AR,WASHINGTON COUNTY
WEINER,AR,POINSETT COUNTY
WEST FORK,AR,WASHINGTON COUNTY
WEST MEMPHIS,AR,CRITTENDEN COUNTY
WHITE HALL,AR,JEFFERSON COUNTY
WOOSTER TOWN,AR,FAULKNER COUNTY
ADELANTO,CA,SAN BERNARDINO COUNTY
AGOURA HILLS,CA,LOS ANGELES COUNTY
ALAMEDA,CA,ALAMEDA COUNTY
ALAMEDA COUNTY UNINCORPORATED AREA,CA,ALAMEDA COUNTY
ALBANY,CA,ALAMEDA COUNTY
ALHAMBRA,CA,LOS ANGELES COUNTY
ALISO VIEJO,CA,ORANGE COUNTY
AMERICAN CANYON,CA,NAPA COUNTY
ANAHEIM,CA,ORANGE COUNTY
ANDERSON,CA,SHASTA COUNTY
ANTIOCH,CA,CONTRA COSTA COUNTY
APPLE VALLEY TOWN,CA,SAN BERNARDINO COUNTY
ARCADIA,CA,LOS ANGELES COUNTY
ARROYO GRANDE,CA,SAN LUIS OBISPO COUNTY
ARTESIA,CA,LOS ANGELES COUNTY
ARVIN,CA,KERN COUNTY
ATASCADERO,CA,SAN LUIS OBISPO COUNTY
ATHERTON TOWN,CA,SAN MATEO COUNTY
ATWATER,CA,MERCED COUNTY
AUBURN,CA,PLACER COUNTY
AVALON,CA,LOS ANGELES COUNTY
AVENAL,CA,KINGS COUNTY
AZUSA,CA,LOS ANGELES COUNTY
BAKERSFIELD,CA,KERN COUNTY
BALDWIN PARK,CA,LOS ANGELES COUNTY
BANNING,CA,RIVERSIDE COUNTY
BARSTOW,CA,SAN BERNARDINO COUNTY
BEAUMONT,CA,RIVERSIDE COUNTY
BELL,CA,LOS ANGELES COUNTY
BELL GARDENS,CA,LOS ANGELES COUNTY
BELLFLOWER,CA,LOS ANGELES COUNTY
BELMONT,CA,SAN MATEO COUNTY
BELVEDERE,CA,MARIN COUNTY
BENICIA,CA,SOLANO COUNTY
BERKELEY,CA,ALAMEDA COUNTY
BEVERLY HILLS,CA,LOS ANGELES COUNTY
BIG BEAR LAKE,CA,SAN BERNARDINO COUNTY
BIGGS,CA,BUTTE COUNTY
BLYTHE,CA,RIVERSIDE COUNTY
BRADBURY,CA,LOS ANGELES COUNTY
BRAWLEY,CA,IMPERIAL COUNTY
BREA,CA,ORANGE COUNTY
BRENTWOOD,CA,CONTRA COSTA COUNTY
BRISBANE,CA,SAN MATEO COUNTY
BUELLTON,CA,SANTA BARBARA COUNTY
BUENA PARK,CA,ORANGE COUNTY
BURBANK,CA,LOS ANGELES COUNTY
BURLINGAME,CA,SAN MATEO COUNTY
BUTTE COUNTY UNINCORPORATED AREA,CA,BUTTE COUNTY
CALABASAS,CA,LOS ANGELES COUNTY
CALEXICO,CA,IMPERIAL COUNTY
CALIFORNIA CITY,CA,KERN COUNTY
CALIMESA,CA,RIVERSIDE COUNTY
CALIPATRIA,CA,IMPERIAL COUNTY
CALISTOGA,CA,NAPA COUNTY
CAMARILLO,CA,VENTURA COUNTY
CAMPBELL,CA,SANTA CLARA COUNTY
CANYON LAKE,CA,RIVERSIDE COUNTY
CAPITOLA,CA,SANTA CRUZ COUNTY
CARLSBAD,CA,SAN DIEGO COUNTY
CARMEL-BY-THE-SEA,CA,MONTEREY COUNTY
CARPINTERIA,CA,SANTA BARBARA COUNTY
CARSON,CA,LOS ANGELES COUNTY
CATHEDRAL CITY,CA,RIVERSIDE COUNTY
CERES,CA,STANISLAUS COUNTY
CERRITOS,CA,LOS ANGELES COUNTY
CHICO,CA,BUTTE COUNTY
CHINO,CA,SAN BERNARDINO COUNTY
CHINO HILLS,CA,SAN BERNARDINO COUNTY
CHOWCHILLA,CA,MADERA COUNTY
CHULA VISTA,CA,SAN DIEGO COUNTY
CITRUS HEIGHTS,CA,SACRAMENTO COUNTY
CLAREMONT,CA,LOS ANGELES COUNTY
CLOVERDALE,CA,SONOMA COUNTY
CLOVIS,CA,FRESNO COUNTY
COACHELLA,CA,RIVERSIDE COUNTY
COALINGA,CA,FRESNO COUNTY
COLFAX,CA,PLACER COUNTY
COLMA TOWN,CA,SAN MATEO COUNTY
COLTON,CA,SAN BERNARDINO COUNTY
COMMERCE,CA,LOS ANGELES COUNTY
COMPTON,CA,LOS ANGELES COUNTY
CONCORD,CA,CONTRA COSTA COUNTY
CONTRA COSTA COUNTY UNINCORPORATED AREA,CA,CONTRA COSTA COUNTY
CORCORAN,CA,KINGS COUNTY
CORONA,CA,RIVERSIDE COUNTY
CORONADO,CA,SAN DIEGO COUNTY
CORTE MADERA TOWN,CA,MARIN COUNTY
COSTA MESA,CA,ORANGE COUNTY
COTATI,CA,SONOMA COUNTY
COVINA,CA,LOS ANGELES COUNTY
CUDAHY,CA,LOS ANGELES COUNTY
CULVER CITY,CA,LOS ANGELES COUNTY
CUPERTINO,CA,SANTA CLARA COUNTY
CYPRESS,CA,ORANGE COUNTY
DALY CITY,CA,SAN MATEO COUNTY
DANA POINT,CA,ORANGE COUNTY
DANVILLE,CA,CONTRA COSTA COUNTY
DANVILLE TOWN,CA,CONTRA COSTA COUNTY
