jurisdiction,state,county
HERCULES,CA,CONTRA COSTA COUNTY
HERMOSA BEACH,CA,LOS ANGELES COUNTY
HESPERIA,CA,SAN BERNARDINO COUNTY
HIDDEN HILLS,CA,LOS ANGELES COUNTY
HIGHLAND,CA,SAN BERNARDINO COUNTY
HILLSBOROUGH TOWN,CA,SAN MATEO COUNTY
HOLLISTER,CA,SAN BENITO COUNTY
HOLTVILLE,CA,IMPERIAL COUNTY
HUGHSON,CA,STANISLAUS COUNTY
HUNTINGTON BEACH,CA,ORANGE COUNTY
HUNTINGTON PARK,CA,LOS ANGELES COUNTY
HURON,CA,FRESNO COUNTY
IMPERIAL,CA,IMPERIAL COUNTY
IMPERIAL BEACH,CA,SAN DIEGO COUNTY
IMPERIAL COUNTY UNINCORPORATED AREA,CA,IMPERIAL COUNTY
INDIAN WELLS,CA,RIVERSIDE COUNTY
INDIO,CA,RIVERSIDE COUNTY
INDUSTRY,CA,LOS ANGELES COUNTY
INGLEWOOD,CA,LOS ANGELES COUNTY
IRVINE,CA,ORANGE COUNTY
IRWINDALE,CA,LOS ANGELES COUNTY
ISLETON,CA,SACRAMENTO COUNTY
JURUPA VALLEY,CA,RIVERSIDE COUNTY
KERMAN,CA,FRESNO COUNTY
KERN COUNTY UNINCORPORATED AREA,CA,KERN COUNTY
KING CITY,CA,MONTEREY COUNTY
KINGS COUNTY UNINCORPORATED AREA,CA,KINGS COUNTY
KINGSBURG,CA,FRESNO COUNTY
LA CANADA FLINTRIDGE,CA,LOS ANGELES COUNTY
LA HABRA,CA,ORANGE COUNTY
LA HABRA HEIGHTS,CA,LOS ANGELES COUNTY
LA MESA,CA,SAN DIEGO COUNTY
LA MIRADA,CA,LOS ANGELES COUNTY
LA PALMA,CA,ORANGE COUNTY
LA PUENTE,CA,LOS ANGELES COUNTY
LA QUINTA,CA,RIVERSIDE COUNTY
LA VERNE,CA,LOS ANGELES COUNTY
LAGUNA BEACH,CA,ORANGE COUNTY
LAGUNA HILLS,CA,ORANGE COUNTY
LAGUNA NIGUEL,CA,ORANGE COUNTY
LAGUNA WOODS,CA,ORANGE COUNTY
LAKE ELSINORE,CA,RIVERSIDE COUNTY
LAKE FOREST,CA,ORANGE COUNTY
LAKEWOOD,CA,LOS ANGELES COUNTY
LANCASTER,CA,LOS ANGELES COUNTY
LARKSPUR,CA,MARIN COUNTY
LATHROP,CA,SAN JOAQUIN COUNTY
LAWNDALE,CA,LOS ANGELES COUNTY
LEMON GROVE,CA,SAN DIEGO COUNTY
LEMOORE,CA,KINGS COUNTY
LINCOLN,CA,PLACER COUNTY
LINDSAY,CA,TULARE COUNTY
LIVE OAK,CA,SUTTER COUNTY
LIVERMORE,CA,ALAMEDA COUNTY
LIVINGSTON,CA,MERCED COUNTY
LODI,CA,SAN JOAQUIN COUNTY
LOMA LINDA,CA,SAN BERNARDINO COUNTY
LOMITA,CA,LOS ANGELES COUNTY
LOMPOC,CA,SANTA BARBARA COUNTY
LONG BEACH,CA,LOS ANGELES COUNTY
LOOMIS TOWN,CA,PLACER COUNTY
LOS ALAMITOS,CA,ORANGE COUNTY
LOS ALTOS,CA,SANTA CLARA COUNTY
LOS ALTOS HILLS TOWN,CA,SANTA CLARA COUNTY
LOS ANGELES,CA,LOS ANGELES COUNTY
LOS ANGELES COUNTY UNINCORPORATED AREA,CA,LOS ANGELES COUNTY
LOS BANOS,CA,MERCED COUNTY
LOS GATOS TOWN,CA,SANTA CLARA COUNTY
LYNWOOD,CA,LOS ANGELES COUNTY
MADERA,CA,MADERA COUNTY
MADERA COUNTY UNINCORPORATED AREA,CA,MADERA COUNTY
MALIBU,CA,LOS ANGELES COUNTY
MANHATTAN BEACH,CA,LOS ANGELES COUNTY
MANTECA,CA,SAN JOAQUIN COUNTY
MARICOPA,CA,KERN COUNTY
MARIN COUNTY UNINCORPORATED AREA,CA,MARIN COUNTY
MARINA,CA,MONTEREY COUNTY
MARTINEZ,CA,CONTRA COSTA COUNTY
MARYSVILLE,CA,YUBA COUNTY
MAYWOOD,CA,LOS ANGELES COUNTY
MC FARLAND,CA,KERN COUNTY
MCFARLAND,CA,KERN COUNTY
MENDOTA,CA,FRESNO COUNTY
MENIFEE,CA,RIVERSIDE COUNTY
MENLO PARK,CA,SAN MATEO COUNTY
MERCED,CA,MERCED COUNTY
MERCED COUNTY UNINCORPORATED AREA,CA,MERCED COUNTY
MILL VALLEY,CA,MARIN COUNTY
MILLBRAE,CA,SAN MATEO COUNTY
MILPITAS,CA,SANTA CLARA COUNTY
MISSION VIEJO,CA,ORANGE COUNTY
MODESTO,CA,STANISLAUS COUNTY
MONROVIA,CA,LOS ANGELES COUNTY
MONTCLAIR,CA,SAN BERNARDINO COUNTY
MONTE SERENO,CA,SANTA CLARA COUNTY
MONTEBELLO,CA,LOS ANGELES COUNTY
MONTEREY,CA,MONTEREY COUNTY
MONTEREY COUNTY UNINCORPORATED AREA,CA,MONTEREY COUNTY
MONTEREY PARK,CA,LOS ANGELES COUNTY
MOORPARK,CA,VENTURA COUNTY
MORENO VALLEY,CA,RIVERSIDE COUNTY
MORGAN HILL,CA,SANTA CLARA COUNTY
MORRO BAY,CA,SAN LUIS OBISPO COUNTY
MOUNTAIN VIEW,CA,SANTA CLARA COUNTY
MURRIETA,CA,RIVERSIDE COUNTY
NAPA,CA,NAPA COUNTY
NAPA COUNTY UNINCORPORATED AREA,CA,NAPA COUNTY
NATIONAL CITY,CA,SAN DIEGO COUNTY
NEEDLES,CA,SAN BERNARDINO COUNTY
NEWARK,CA,ALAMEDA COUNTY
NEWMAN,CA,STANISLAUS COUNTY
NEWPORT BEACH,CA,ORANGE COUNTY
NORCO,CA,RIVERSIDE COUNTY
NORWALK,CA,LOS ANGELES COUNTY
NOVATO,CA,MARIN COUNTY
OAKDALE,CA,STANISLAUS COUNTY
OAKLAND,CA,ALAMEDA COUNTY
OAKLEY,CA,CONTRA COSTA COUNTY
OCEANSIDE,CA,SAN DIEGO COUNTY
OJAI,CA,VENTURA COUNTY
ONTARIO,CA,SAN BERNARDINO COUNTY
ORANGE,CA,ORANGE COUNTY
ORANGE COUNTY UNINCORPORATED AREA,CA,ORANGE COUNTY
ORANGE COVE,CA,FRESNO COUNTY
OROVILLE,CA,BUTTE COUNTY
OXNARD,CA,VENTURA COUNTY
PACIFIC GROVE,CA,MONTEREY COUNTY
PACIFICA,CA,SAN MATEO COUNTY
PALM DESERT,CA,RIVERSIDE COUNTY
PALM SPRINGS,CA,RIVERSIDE COUNTY
PALMDALE,CA,LOS ANGELES COUNTY
PALO ALTO,CA,SANTA CLARA COUNTY
PALOS VERDES ESTATES,CA,LOS ANGELES COUNTY
PARADISE TOWN,CA,BUTTE COUNTY
PARAMOUNT,CA,LOS ANGELES COUNTY
PARLIER,CA,FRESNO COUNTY
PASADENA,CA,LOS ANGELES COUNTY
PASO ROBLES,CA,SAN LUIS OBISPO COUNTY
PATTERSON,CA,STANISLAUS COUNTY
PERRIS,CA,RIVERSIDE COUNTY
PETALUMA,CA,SONOMA COUNTY
PICO RIVERA,CA,LOS ANGELES COUNTY
PIEDMONT,CA,ALAMEDA COUNTY
PINOLE,CA,CONTRA COSTA COUNTY
PISMO BEACH,CA,SAN LUIS OBISPO COUNTY
PITTSBURG,CA,CONTRA COSTA COUNTY
PLACENTIA,CA,ORANGE COUNTY
PLACER COUNTY UNINCORPORATED AREA,CA,PLACER COUNTY
PLACERVILLE,CA,EL DORADO COUNTY
PLEASANT HILL,CA,CONTRA COSTA COUNTY
PLEASANTON,CA,ALAMEDA COUNTY
POMONA,CA,LOS ANGELES COUNTY
PORT HUENEME,CA,VENTURA COUNTY
PORTERVILLE,CA,TULARE COUNTY
PORTOLA VALLEY TOWN,CA,SAN MATEO COUNTY
POWAY,CA,SAN DIEGO COUNTY
RANCHO CORDOVA,CA,SACRAMENTO COUNTY
RANCHO CUCAMONGA,CA,SAN BERNARDINO COUNTY
RANCHO MIRAGE,CA,RIVERSIDE COUNTY
RANCHO PALOS VERDES,CA,LOS ANGELES COUNTY
RANCHO SANTA MARGARITA,CA,ORANGE COUNTY
REDDING,CA,SHASTA COUNTY
REDLANDS,CA,SAN BERNARDINO COUNTY
REDONDO BEACH,CA,LOS ANGELES COUNTY
REDWOOD CITY,CA,SAN MATEO COUNTY
REEDLEY,CA,FRESNO COUNTY
RIALTO,CA,SAN BERNARDINO COUNTY
RICHMOND,CA,CONTRA COSTA COUNTY
RIDGECREST,CA,KERN COUNTY
RIO VISTA,CA,SOLANO COUNTY
RIPON,CA,SAN JOAQUIN COUNTY
RIVERBANK,CA,STANISLAUS COUNTY
RIVERSIDE,CA,RIVERSIDE COUNTY
RIVERSIDE COUNTY UNINCORPORATED AREA,CA,RIVERSIDE COUNTY
ROCKLIN,CA,PLACER COUNTY
ROHNERT PARK,CA,SONOMA COUNTY
ROLLING HILLS,CA,LOS ANGELES COUNTY
ROLLING HILLS ESTATES,CA,LOS ANGELES COUNTY
ROSEMEAD,CA,LOS ANGELES COUNTY
ROSEVILLE,CA,PLACER COUNTY
ROSS TOWN,CA,MARIN COUNTY
SACRAMENTO,CA,SACRAMENTO COUNTY
SACRAMENTO COUNTY UNINCORPORATED AREA,CA,SACRAMENTO COUNTY
SALINAS,CA,MONTEREY COUNTY
SAN ANSELMO TOWN,CA,MARIN COUNTY
SAN BENITO COUNTY UNINCORPORATED AREA,CA,SAN BENITO COUNTY
SAN BERNARDINO,CA,SAN BERNARDINO COUNTY
SAN BERNARDINO COUNTY UNINCORPORATED AREA,CA,SAN BERNARDINO COUNTY
SAN BRUNO,CA,SAN MATEO COUNTY
SAN BUENAVENTURA,CA,VENTURA COUNTY
SAN CARLOS,CA,SAN MATEO COUNTY
SAN CLEMENTE,CA,ORANGE COUNTY
SAN DIEGO,CA,SAN DIEGO COUNTY
SAN DIEGO COUNTY UNINCORPORATED AREA,CA,SAN DIEGO COUNTY
SAN DIMAS,CA,LOS ANGELES COUNTY
SAN FERNANDO,CA,LOS ANGELES COUNTY
SAN FRANCISCO,CA,SAN FRANCISCO COUNTY
SAN GABRIEL,CA,LOS ANGELES COUNTY
SAN JACINTO,CA,RIVERSIDE COUNTY
SAN JOAQUIN,CA,FRESNO COUNTY
SAN JOAQUIN COUNTY UNINCORPORATED AREA,CA,SAN JOAQUIN COUNTY
SAN JOSE,CA,SANTA CLARA COUNTY
SAN JUAN BAUTISTA,CA,SAN BENITO COUNTY
SAN JUAN CAPISTRANO,CA,ORANGE COUNTY
SAN LEANDRO,CA,ALAMEDA COUNTY
SAN LUIS OBISPO,CA,SAN LUIS OBISPO COUNTY
SAN LUIS OBISPO COUNTY UNINCORPORATED AREA,CA,SAN LUIS OBISPO COUNTY
SAN MARCOS,CA,SAN DIEGO COUNTY
SAN MARINO,CA,LOS ANGELES COUNTY
SAN MATEO,CA,SAN MATEO COUNTY
SAN MATEO COUNTY UNINCORPORATED AREA,CA,SAN MATEO COUNTY
SAN PABLO,CA,CONTRA COSTA COUNTY
SAN RAFAEL,CA,MARIN COUNTY
SAN RAMON,CA,CONTRA COSTA COUNTY
SAND CITY,CA,MONTEREY COUNTY
SANGER,CA,FRESNO COUNTY
SANTA ANA,CA,ORANGE COUNTY
SANTA BARBARA,CA,SANTA BARBARA COUNTY
SANTA BARBARA COUNTY UNINCORPORATED AREA,CA,SANTA BARBARA COUNTY
SANTA CLARA,CA,SANTA CLARA COUNTY
SANTA CLARA COUNTY UNINCORPORATED AREA,CA,SANTA CLARA COUNTY
SANTA CLARITA,CA,LOS ANGELES COUNTY
SANTA CRUZ,CA,SANTA CRUZ COUNTY
SANTA CRUZ COUNTY UNINCORPORATED AREA,CA,SANTA CRUZ COUNTY
SANTA FE SPRINGS,CA,LOS ANGELES COUNTY
SANTA MARIA,CA,SANTA BARBARA COUNTY
SANTA MONICA,CA,LOS ANGELES COUNTY
SANTA PAULA,CA,VENTURA COUNTY
SANTA ROSA,CA,SONOMA COUNTY
SANTEE,CA,SAN DIEGO COUNTY
SARATOGA,CA,SANTA CLARA COUNTY
SAUSALITO,CA,MARIN COUNTY
SCOTTS VALLEY,CA,SANTA CRUZ COUNTY
SEAL BEACH,CA,ORANGE COUNTY
SEASIDE,CA,MONTEREY COUNTY
SEBASTOPOL,CA,SONOMA COUNTY
SELMA,CA,FRESNO COUNTY
SHAFTER,CA,KERN COUNTY
SHASTA COUNTY UNINCORPORATED AREA,CA,SHASTA COUNTY
SHASTA LAKE,CA,SHASTA COUNTY
SIERRA MADRE,CA,LOS ANGELES COUNTY
SIGNAL HILL,CA,LOS ANGELES COUNTY
SIMI VALLEY,CA,VENTURA COUNTY
SOLANA BEACH,CA,SAN DIEGO COUNTY
SOLANO COUNTY UNINCORPORATED AREA,CA,SOLANO COUNTY
SOLEDAD,CA,MONTEREY COUNTY
SOLVANG,CA,SANTA BARBARA COUNTY
SONOMA,CA,SONOMA COUNTY
SONOMA COUNTY UNINCORPORATED AREA,CA,SONOMA COUNTY
SOUTH EL MONTE,CA,LOS ANGELES COUNTY
SOUTH GATE,CA,LOS ANGELES COUNTY
SOUTH LAKE TAHOE,CA,EL DORADO COUNTY
SOUTH PASADENA,CA,LOS ANGELES COUNTY
SOUTH SAN FRANCISCO,CA,SAN MATEO COUNTY
ST. HELENA,CA,NAPA COUNTY
STANISLAUS COUNTY UNINCORPORATED AREA,CA,STANISLAUS COUNTY
STANTON,CA,ORANGE COUNTY
STOCKTON,CA,SAN JOAQUIN COUNTY
SUISUN CITY,CA,SOLANO COUNTY
SUNNYVALE,CA,SANTA CLARA COUNTY
SUTTER COUNTY UNINCORPORATED AREA,CA,SUTTER COUNTY
TAFT,CA,KERN COUNTY
TEHACHAPI,CA,KERN COUNTY
TEMECULA,CA,RIVERSIDE COUNTY
TEMPLE CITY,CA,LOS ANGELES COUNTY
THOUSAND OAKS,CA,VENTURA COUNTY
TIBURON TOWN,CA,MARIN COUNTY
TORRANCE,CA,LOS ANGELES COUNTY
TRACY,CA,SAN JOAQUIN COUNTY
TULARE,CA,TULARE COUNTY
TULARE COUNTY UNINCORPORATED AREA,CA,TULARE COUNTY
TURLOCK,CA,STANISLAUS COUNTY
TUSTIN,CA,ORANGE COUNTY
TWENTYNINE PALMS,CA,SAN BERNARDINO COUNTY
UNION CITY,CA,ALAMEDA COUNTY
UPLAND,CA,SAN BERNARDINO COUNTY
VACAVILLE,CA,SOLANO COUNTY
VALLEJO,CA,SOLANO COUNTY
VENTURA COUNTY UNINCORPORATED AREA,CA,VENTURA COUNTY
VERNON,CA,LOS ANGELES COUNTY
VICTORVILLE,CA,SAN BERNARDINO COUNTY
VILLA PARK,CA,ORANGE COUNTY
VISALIA,CA,TULARE COUNTY
VISTA,CA,SAN DIEGO COUNTY
WALNUT,CA,LOS ANGELES COUNTY
WALNUT CREEK,CA,CONTRA COSTA COUNTY
WASCO,CA,KERN COUNTY
WATERFORD,CA,STANISLAUS COUNTY
WATSONVILLE,CA,SANTA CRUZ COUNTY
WEST COVINA,CA,LOS ANGELES COUNTY
WEST HOLLYWOOD,CA,LOS ANGELES COUNTY
WEST SACRAMENTO,CA,YOLO COUNTY
WESTLAKE VILLAGE,CA,LOS ANGELES COUNTY
WESTMINSTER,CA,ORANGE COUNTY
WESTMORLAND,CA,IMPERIAL COUNTY
WHEATLAND,CA,YUBA COUNTY
WHITTIER,CA,LOS ANGELES COUNTY
WILDOMAR,CA,RIVERSIDE COUNTY
WINDSOR TOWN,CA,SONOMA COUNTY
WINTERS,CA,YOLO COUNTY
WOODLAKE,CA,TULARE COUNTY
WOODLAND,CA,YOLO COUNTY
WOODSIDE TOWN,CA,SAN MATEO COUNTY
YOLO COUNTY UNINCORPORATED AREA,CA,YOLO COUNTY
YORBA LINDA,CA,ORANGE COUNTY
YOUNTVILLE TOWN,CA,NAPA COUNTY
YUBA CITY,CA,SUTTER COUNTY
YUBA COUNTY UNINCORPORATED AREA,CA,YUBA COUNTY
YUCAIPA,CA,SAN BERNARDINO COUNTY
YUCCA VALLEY TOWN,CA,SAN BERNARDINO COUNTY
ADAMS COUNTY UNINCORPORATED AREA,CO,ADAMS COUNTY
ALMA TOWN,CO,PARK COUNTY
ARAPAHOE COUNTY UNINCORPORATED AREA,CO,ARAPAHOE COUNTY
ARVADA,CO,JEFFERSON COUNTY
AULT TOWN,CO,WELD COUNTY
AURORA,CO,ARAPAHOE COUNTY
BENNETT TOWN,CO,ADAMS COUNTY
BERTHOUD TOWN,CO,LARIMER COUNTY
BLACK HAWK TOWN,CO,GILPIN COUNTY
BOULDER,CO,BOULDER COUNTY
BOULDER COUNTY UNINCORPORATED AREA,CO,BOULDER COUNTY
BOW MAR TOWN,CO,ARAPAHOE COUNTY
BRIGHTON,CO,ADAMS COUNTY
BROOMFIELD,CO,BROOMFIELD COUNTY
CALHAN TOWN,CO,EL PASO COUNTY
CASTLE PINES NORTH,CO,DOUGLAS COUNTY
CASTLE ROCK TOWN,CO,DOUGLAS COUNTY
CENTENNIAL,CO,ARAPAHOE COUNTY
CENTRAL CITY,CO,GILPIN COUNTY
CHERRY HILLS VILLAGE,CO,ARAPAHOE COUNTY
CLEAR CREEK COUNTY UNINCORPORATED AREA,CO,CLEAR CREEK COUNTY
COLLBRAN TOWN,CO,MESA COUNTY
COLORADO SPRINGS-EL PASO COUNTY,CO,EL PASO COUNTY
COLUMBINE VALLEY TOWN,CO,ARAPAHOE COUNTY
COMMERCE CITY,CO,ADAMS COUNTY
CRIPPLE CREEK,CO,TELLER COUNTY
DACONO,CO,WELD COUNTY
DE BEQUE TOWN,CO,MESA COUNTY
DEER TRAIL TOWN,CO,ARAPAHOE COUNTY
DENVER,CO,DENVER COUNTY
DOUGLAS COUNTY UNINCORPORATED AREA,CO,DOUGLAS COUNTY
EATON TOWN,CO,WELD COUNTY
EDGEWATER,CO,JEFFERSON COUNTY
EL PASO COUNTY UNINCORPORATED AREA,CO,EL PASO COUNTY
ELBERT COUNTY UNINCORPORATED AREA,CO,ELBERT COUNTY
ELIZABETH TOWN,CO,ELBERT COUNTY
EMPIRE TOWN,CO,CLEAR CREEK COUNTY
ENGLEWOOD,CO,ARAPAHOE COUNTY
ERIE TOWN,CO,WELD COUNTY
ESTES PARK TOWN,CO,LARIMER COUNTY
EVANS,CO,WELD COUNTY
FAIRPLAY TOWN,CO,PARK COUNTY
FEDERAL HEIGHTS,CO,ADAMS COUNTY
FIRESTONE TOWN,CO,WELD COUNTY
FORT COLLINS,CO,LARIMER COUNTY
FORT LUPTON,CO,WELD COUNTY
FOXFIELD TOWN,CO,ARAPAHOE COUNTY
FREDERICK TOWN,CO,WELD COUNTY
FRUITA,CO,MESA COUNTY
GARDEN CITY TOWN,CO,WELD COUNTY
GEORGETOWN TOWN,CO,CLEAR CREEK COUNTY
GILCREST TOWN,CO,WELD COUNTY
GILPIN COUNTY UNINCORPORATED AREA,CO,GILPIN COUNTY
GLENDALE,CO,ARAPAHOE COUNTY
GOLDEN,CO,JEFFERSON COUNTY
GRAND JUNCTION,CO,MESA COUNTY
GREELEY,CO,WELD COUNTY
GREEN MOUNTAIN FALLS TOWN,CO,EL PASO COUNTY
GREENWOOD VILLAGE,CO,ARAPAHOE COUNTY
GROVER TOWN,CO,WELD COUNTY
HUDSON TOWN,CO,WELD COUNTY
IDAHO SPRINGS,CO,CLEAR CREEK COUNTY
JAMESTOWN TOWN,CO,BOULDER COUNTY
JEFFERSON COUNTY UNINCORPORATED AREA,CO,JEFFERSON COUNTY
JOHNSTOWN TOWN,CO,WELD COUNTY
KEENESBURG TOWN,CO,WELD COUNTY
KERSEY TOWN,CO,WELD COUNTY
KIOWA TOWN,CO,ELBERT COUNTY
LA SALLE TOWN,CO,WELD COUNTY
LAFAYETTE,CO,BOULDER COUNTY
LAKEWOOD,CO,JEFFERSON COUNTY
LARIMER COUNTY UNINCORPORATED AREA,CO,LARIMER COUNTY
LITTLETON,CO,ARAPAHOE COUNTY
LOCHBUIE TOWN,CO,WELD COUNTY
LONE TREE,CO,DOUGLAS COUNTY
LONGMONT,CO,BOULDER COUNTY
LOUISVILLE,CO,BOULDER COUNTY
LOVELAND,CO,LARIMER COUNTY
LYONS TOWN,CO,BOULDER COUNTY
MEAD TOWN,CO,WELD COUNTY
MESA COUNTY UNINCORPORATED AREA,CO,MESA COUNTY
MILLIKEN TOWN,CO,WELD COUNTY
MORRISON TOWN,CO,JEFFERSON COUNTY
MOUNTAIN VIEW TOWN,CO,JEFFERSON COUNTY
NEDERLAND TOWN,CO,BOULDER COUNTY
NORTHGLENN,CO,ADAMS COUNTY
NUNN TOWN,CO,WELD COUNTY
PALISADE TOWN,CO,MESA COUNTY
PALMER LAKE TOWN,CO,EL PASO COUNTY
PARK COUNTY UNINCORPORATED AREA,CO,PARK COUNTY
PARKER TOWN,CO,DOUGLAS COUNTY
PIERCE TOWN,CO,WELD COUNTY
PLATTEVILLE TOWN,CO,WELD COUNTY
PUEBLO,CO,PUEBLO COUNTY
PUEBLO COUNTY UNINCORPORATED AREA,CO,PUEBLO COUNTY
RAMAH TOWN,CO,EL PASO COUNTY
SEVERANCE TOWN,CO,WELD COUNTY
SHERIDAN,CO,ARAPAHOE COUNTY
SILVER PLUME TOWN,CO,CLEAR CREEK COUNTY
SIMLA TOWN,CO,ELBERT COUNTY
SUPERIOR TOWN,CO,BOULDER COUNTY
TELLER COUNTY UNINCORPORATED AREA,CO,TELLER COUNTY
THORNTON,CO,ADAMS COUNTY
TIMNATH TOWN,CO,LARIMER COUNTY
VICTOR,CO,TELLER COUNTY
WARD TOWN,CO,BOULDER COUNTY
WATKINS TOWN,CO,ARAPAHOE COUNTY
WELD COUNTY UNINCORPORATED AREA,CO,WELD COUNTY
WELLINGTON TOWN,CO,LARIMER COUNTY
WESTMINSTER,CO,ADAMS COUNTY
WHEAT RIDGE,CO,JEFFERSON COUNTY
WINDSOR TOWN,CO,WELD COUNTY
WOODLAND PARK,CO,TELLER COUNTY
ASHFORD TOWN,CT,NORTHEASTERN CONNECTICUT PLANNING REGION
AVON TOWN,CT,CAPITOL PLANNING REGION
BEACON FALLS TOWN,CT,NAUGATUCK VALLEY PLANNING REGION
BERLIN TOWN,CT,CAPITOL PLANNING REGION
BETHANY TOWN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
BETHEL TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
BLOOMFIELD TOWN,CT,CAPITOL PLANNING REGION
BOLTON TOWN,CT,CAPITOL PLANNING REGION
BOZRAH TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
BRANFORD TOWN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
BRIDGEPORT,CT,GREATER BRIDGEPORT PLANNING REGION
BRISTOL,CT,NAUGATUCK VALLEY PLANNING REGION
BROOKFIELD TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
BROOKLYN TOWN,CT,NORTHEASTERN CONNECTICUT PLANNING REGION
BURLINGTON TOWN,CT,NORTHWEST HILLS PLANNING REGION
CANTERBURY TOWN,CT,NORTHEASTERN CONNECTICUT PLANNING REGION
CANTON TOWN,CT,CAPITOL PLANNING REGION
CHESHIRE TOWN,CT,NAUGATUCK VALLEY PLANNING REGION
CLINTON TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
COLCHESTER TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
COLUMBIA TOWN,CT,CAPITOL PLANNING REGION
COVENTRY TOWN,CT,CAPITOL PLANNING REGION
CROMWELL TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
DANBURY,CT,WESTERN CONNECTICUT PLANNING REGION
DARIEN TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
DEEP RIVER TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
DERBY,CT,NAUGATUCK VALLEY PLANNING REGION
DURHAM TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
EAST GRANBY TOWN,CT,CAPITOL PLANNING REGION
EAST HADDAM TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
EAST HAMPTON TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
EAST HAVEN TOWN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
EAST LYME TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
EAST WINDSOR TOWN,CT,CAPITOL PLANNING REGION
EASTFORD TOWN,CT,NORTHEASTERN CONNECTICUT PLANNING REGION
EASTON TOWN,CT,GREATER BRIDGEPORT PLANNING REGION
ELLINGTON TOWN,CT,CAPITOL PLANNING REGION
ENFIELD TOWN,CT,CAPITOL PLANNING REGION
ESSEX TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
FAIRFIELD TOWN,CT,GREATER BRIDGEPORT PLANNING REGION
FARMINGTON TOWN,CT,CAPITOL PLANNING REGION
FRANKLIN TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
GLASTONBURY TOWN,CT,CAPITOL PLANNING REGION
GRANBY TOWN,CT,CAPITOL PLANNING REGION
GREENWICH TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
GRISWOLD TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
GROTON,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
GROTON LONG POINT BOROUGH,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
GROTON TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
GUILFORD TOWN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
HADDAM TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
HARTFORD,CT,CAPITOL PLANNING REGION
HARTLAND TOWN,CT,NORTHWEST HILLS PLANNING REGION
HEBRON TOWN,CT,CAPITOL PLANNING REGION
KILLINGLY TOWN,CT,NORTHEASTERN CONNECTICUT PLANNING REGION
KILLINGWORTH TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
LEBANON TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
LEDYARD TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
LISBON TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
LYME TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
MADISON TOWN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
MANCHESTER TOWN,CT,CAPITOL PLANNING REGION
MANSFIELD TOWN,CT,CAPITOL PLANNING REGION
MARLBOROUGH TOWN,CT,CAPITOL PLANNING REGION
MERIDEN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
MIDDLEBURY TOWN,CT,NAUGATUCK VALLEY PLANNING REGION
MIDDLEFIELD TOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
MIDDLETOWN,CT,LOWER CONNECTICUT RIVER VALLEY PLANNING REGION
MILFORD TOWN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
MONROE TOWN,CT,GREATER BRIDGEPORT PLANNING REGION
MONTVILLE TOWN,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
NAUGATUCK BOROUGH,CT,NAUGATUCK VALLEY PLANNING REGION
NEW BRITAIN,CT,CAPITOL PLANNING REGION
NEW CANAAN TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
NEW FAIRFIELD TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
NEW HAVEN,CT,SOUTH CENTRAL CONNECTICUT PLANNING REGION
NEW LONDON,CT,SOUTHEASTERN CONNECTICUT PLANNING REGION
NEWINGTON TOWN,CT,CAPITOL PLANNING REGION
NEWTOWN TOWN,CT,WESTERN CONNECTICUT PLANNING REGION
